id,name,status,species,gender,episode
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/1
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/2
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/3
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/4
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/5
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/6
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/7
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/8
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/9
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/10
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/11
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/12
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/13
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/14
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/15
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/16
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/17
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/18
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/19
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/20
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/21
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/22
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/23
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/24
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/25
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/26
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/27
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/28
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/29
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/30
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/31
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/32
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/33
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/34
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/35
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/36
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/37
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/38
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/39
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/40
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/41
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/42
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/43
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/44
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/45
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/46
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/47
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/48
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/49
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/50
1,Rick Sanchez,Alive,Human,Male,https://rickandmortyapi.com/api/episode/51
2,Morty Smith,Alive,Human,Male,https://rickandmortyapi.com/api/episode/1
2,Morty Smith,Alive,Human,Male,https://rickandmortyapi.com/api/episode/2
2,Morty Smith,Alive,Human,Male,https://rickandmortyapi.com/api/episode/3
2,Morty Smith,Alive,Human,Male,https://rickandmortyapi.com/api/episode/4
2,Morty Smith,Alive,Human,Male,https://rickandmortyapi.com/api/episode/5
2,Morty Smith,Alive,Human,Male,https://rickandmortyapi.com/api/episode/6
2,Morty Smith,Alive,Human,Male,https://rickandmortyapi.com/api/episode/7
2,Morty Smith,Alive,Human,Male,https://rickandmortyapi.com/api/episode/8
2,Morty Smith,Alive,Human,Male,https://rickandmortyapi.com/api/episode/9
2,Morty Smith,Alive,Human,Male,https://rickandmortyapi.com/api/episode/10
2,Morty Smith,Alive,Human,Male,https://rickandmortyapi.com/api/episode/11
2,Morty Smith,Alive,Human,Male,https://rickandmortyapi.com/api/episode/12
2,Morty Smith,Alive,Human,Male,https://rickandmortyapi.com/api/episode/13
2,Morty Smith,Alive,Human,Male,https://rickandmortyapi.com/api/episode/14
